Comment Date,Comment
"Nov 28, 2019, 8:29:42 PM",Thanks no race just a long solo run back home- happy Thanksgiving! 
"Dec 1, 2019, 6:05:55 PM",Motorcycle ride 
"Dec 1, 2019, 6:15:45 PM",Happy thanksgiving 
"Dec 4, 2019, 2:28:23 AM",I held with the main group for about as long as I could (3/4 of a lap?) and then stuck with the second pack to finish like 2 mins behind.  
"Dec 4, 2019, 2:29:02 AM",Was nice getting to do a race with you today!
"Dec 5, 2019, 11:18:13 AM",In skate skiing - The avg. speed is almost entirely dependent on the glide phase which is very snow condition dependent - happened to be fairly packed down last night even though it was above freezing. Not the fastest but not the slowest either!  
"Dec 8, 2019, 8:07:40 PM",brutal!
"Dec 8, 2019, 10:25:17 PM",Nicely done!
"Dec 13, 2019, 1:36:04 PM","Everyone waited soo long to sprint, I feel like I could have went for it !    But it was a fun race I liked the teamwork aspect a lot. "
"Dec 21, 2019, 6:22:49 PM",How’s the conditions today? Was thinking of going tonight 
"Dec 22, 2019, 5:09:32 PM",Is this area icy?  Was just about to head there myself 
"Dec 22, 2019, 5:10:24 PM",Damn I should have gotten over there for this one about to do something similar on my own at lazy person hours 
"Dec 22, 2019, 11:11:58 PM","They make some neoprene shoe covers that might help on days like this, I had the same problem where my feet would be the only thing I couldn’t get warm "
"Dec 23, 2019, 12:08:42 AM",Legs of a God
"Dec 24, 2019, 7:08:11 PM",Good race!
"Dec 24, 2019, 10:14:27 PM","Drew Peterson it’s one of my favorites due to the strategy,  wish they scheduled it more often! "
"Dec 25, 2019, 5:07:16 PM",Beauty of a bike
"Dec 25, 2019, 5:15:53 PM",Merry Christmas from the Doucetts
"Dec 26, 2019, 1:33:23 AM",You are awesome!
"Dec 29, 2019, 5:09:06 PM",I think it’s 75% of your best 1 minute power.   But my 1 min is somewhat of a weak spot for me... I do a lot better on 20-30 minute blocks. 
"Dec 29, 2019, 5:18:51 PM","Was kind of funny.... Zwift said I decreased by 6 watts on this test yesterday then after I raced today, it went back up 7 watts.  "
"Dec 30, 2019, 1:47:11 AM",Nice bro 
"Dec 31, 2019, 8:12:06 PM",Nice race!
"Dec 31, 2019, 8:14:20 PM",Nice race- huge watts! Happy New Year 
"Jan 1, 2020, 6:55:38 PM",You picked the better route 
"Jan 1, 2020, 9:28:50 PM",Good work- That was a brutal ride. Glad to stick with you for a lot of it 
"Jan 1, 2020, 9:29:11 PM",This was INTENSE!!! Great work out there 
"Jan 2, 2020, 1:58:32 AM","Tim Cary  thanks! I assumed it would be “easier” given the big draft advantage I normally see in races... only to then watch the pack completely break up maybe 5-10 miles in. Rode the vast majority of the miles either solo or with 1-2 other riders as we traded places up the climbs and descents.  Honestly would have been fine except I started getting knee pain with like 30 miles to go, that was the rough part. 

The final 10 miles back UP to the radio tower for the 3rd time (!) was pure evil .. but I somehow found a little energy to get it done.  "
"Jan 4, 2020, 8:10:25 PM",Nice - Looks like we had the same idea today 
"Jan 7, 2020, 2:19:33 PM",sooo how are we looking for tonight conditions wise 
"Jan 7, 2020, 4:21:02 PM","Ari Ofsevit I live in Somerville right by Alewife Brook Parkway -  I would be interested in carpooling to Weston in the future because my transportation there isn’t always guaranteed, If you or anyone you know goes that way.  Thanks and we can coordinate more hopefully "
"Jan 8, 2020, 3:16:55 AM",Welcome to Weston racing :)
"Jan 10, 2020, 10:25:21 PM",Nice race!
"Jan 10, 2020, 10:25:49 PM",Nice race!
"Jan 19, 2020, 11:13:24 PM",Cindy Schnee  Race was fast and unrelenting - was able to keep with a pretty fast group - took part in a couple successful gap bridges and then it was everyone for themselves on the final climb. Finished ~50th out of 800 then kept riding for another hour or so to get more miles since it was supposed to be my long ride for the week. 
"Jan 21, 2020, 2:41:53 AM",Nice!
"Jan 22, 2020, 3:11:22 AM",Good race!
"Jan 26, 2020, 3:58:28 PM",Yeah! Way different strategy than when it’s one lap. I ended up with a massive gap on the flats but hey didn’t get passed again on the next time up to the top! 
"Jan 26, 2020, 5:25:11 PM",I want to join up on these runs again been missing them 
"Jan 26, 2020, 6:04:12 PM",Did the race version today it’s tough !
"Jan 29, 2020, 1:57:26 AM",Love me some Mystic
"Jan 29, 2020, 3:46:55 PM",Nice Race!
"Jan 30, 2020, 3:59:10 PM",Hey saw you're registered for the race this sunday! I just signed up
"Jan 31, 2020, 1:42:25 AM",Getting dizzy just looking at this one 
"Feb 2, 2020, 1:03:43 PM",Thanks Rob!
"Feb 2, 2020, 6:24:57 PM",Nicely done!
"Feb 2, 2020, 7:38:37 PM",Nice!
"Feb 3, 2020, 8:16:10 PM",Nice!
"Feb 5, 2020, 1:35:45 AM",Oh no!
"Feb 5, 2020, 2:46:15 AM",Nice riding with you today 
"Feb 5, 2020, 2:47:57 AM",Nice race 
"Feb 5, 2020, 12:53:47 PM",Potentially! Seeing if some aches and pains heal up 
"Feb 7, 2020, 3:12:10 AM",Thanks! I pushed myself to gain a few places in the final stretch...against all odds!
"Feb 8, 2020, 6:18:04 PM",Nice work man! Good racing with you 
"Feb 8, 2020, 10:06:16 PM",Thanks! Racing it earlier in the week helped hone in on the strategy that works for this course... but maybe I just got lucky today. I basically fell off the bike after hitting my max HR across the line. 
"Feb 9, 2020, 5:11:25 PM",Nice riding with you today 
"Feb 9, 2020, 6:53:01 PM",nicely done
"Feb 9, 2020, 8:01:04 PM",Looks great up there!
"Feb 9, 2020, 8:47:26 PM",Rob Simms I'll be heading up there for a week in a few days!
"Feb 14, 2020, 2:00:43 AM",Thanks I usually race B but I had a buddy in the race who invited me up to A for the night.  Held on long as I could!
"Feb 14, 2020, 4:00:40 PM",Fun riding with you!  Way to kill it
"Feb 15, 2020, 9:43:17 PM",I think I saw you going down while I was driving by on 93 
"Feb 16, 2020, 1:04:28 AM",Looking for your profile on Zwift- so I can follow you 
"Feb 19, 2020, 12:08:15 AM",Nice luck!!
"Feb 22, 2020, 10:50:55 PM",Ouch 😢
"Feb 29, 2020, 5:19:46 PM",Thor got DQ’d on ZP 🥇
"Mar 1, 2020, 2:45:37 PM",I was getting toasted the last lap or so pushing a high HR - but that could have been for a few different reasons 
"Mar 1, 2020, 8:33:29 PM",Roger Stawasz had somewhat of a recovery week but I’m not sure I was fully up to the task of crushing this today with a cold coming on 
"Mar 6, 2020, 1:48:29 AM",Drew Peterson  thanks you too 
"Mar 20, 2020, 11:02:23 PM",Nice
"Mar 22, 2020, 4:27:28 PM",You and me both 
"Mar 24, 2020, 2:41:19 AM",Good race!
"Mar 26, 2020, 2:33:53 AM",Good race - curious why you registered C was that an accident? 
"Mar 26, 2020, 2:35:26 AM","Nice race man,  was wishing I could catch up so I could draft like the entire last 10 miles "
"Mar 26, 2020, 4:12:42 PM",Understood - I always want to assume good faith - you were crushing it out there 
"Mar 26, 2020, 4:13:32 PM",Very nice 
"Mar 27, 2020, 10:35:35 PM",Absolutely mad... nice!
"Mar 28, 2020, 4:43:11 PM",Nice 
"Apr 2, 2020, 10:25:59 PM",Nice summit!
"Apr 7, 2020, 12:42:19 AM",Nice power 
"Apr 7, 2020, 11:13:02 PM",It’s accurate to my demeanor when my heart rate kept dropping during intervals 
"Apr 13, 2020, 4:24:04 AM",Nice you went down my street 
"Apr 14, 2020, 12:06:40 AM",Goddamn man that’s brutal 
"Apr 15, 2020, 2:48:47 AM",Both my TICKR units seemingly have now gone bust...I either buy a 3rd or go with Polar or Garmin.    
"Apr 16, 2020, 12:57:44 AM",lil dude be aero af
"Apr 16, 2020, 1:02:20 AM",Smokin hot time 
"Apr 16, 2020, 1:03:26 AM",Nice race!
"Apr 16, 2020, 1:03:47 AM",Nice race!
"Apr 17, 2020, 2:09:12 AM",I can’t take credit for the nice draft but I pushed up to the top 2 seconds faster than ever before !
"Apr 18, 2020, 12:06:53 AM",Yilun Zhang  new parts/wheels day 😂  I’ll have some pics up on a future ride 
"Apr 18, 2020, 12:26:41 AM",Drew Peterson  you are safe...for now ! 
"Apr 18, 2020, 9:30:46 PM",Congratulations! 
"Apr 18, 2020, 11:45:21 PM",Saw you out there while I was on my 100!  Nice 
"Apr 19, 2020, 3:37:40 AM","Thanks man, went a lot better than the last one of these I did on New Year’s Day that one had 4X epic KOMs "
"Apr 19, 2020, 2:50:28 PM",I will have to save and try this route!
"Apr 20, 2020, 11:51:32 PM",This would have been fun to do if I wasn’t burnt out today ! 
"Apr 22, 2020, 4:02:30 PM","Drew Peterson They are probably among my favorite events, rather than just riding on the back of a pack draft you have to continuously push yourself and know/challenge your own limitations-  heavier riders have a bit of an advantage on flat courses - kind of like an FTP test but as a race "
