Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Arlington to Sea,,42.414443,-71.152214,42.37093,-71.071897
Davis to CX - Community Path,,42.396681,-71.121977,42.372231,-71.07622
Take the E Train,,42.392686,-71.105802,42.372189,-71.076096
Gilman Square Express ,,42.37205,-71.076093,42.386833,-71.094597
Ripper Hills Speedrun Any%,,42.449324,-71.175797,42.415409,-71.179085
10 Mile TT,,38.68523,-90.245915,38.684616,-90.245837
Dogtown Running Club - Art Museum Loop,,38.630579,-90.293447,38.630603,-90.293322
Strait outta Compton,,38.611185,-90.239312,38.612073,-90.230832
TGP South Side,,38.606058,-90.265919,38.60506,-90.243209
Life is Grand,,38.607561,-90.241259,38.611107,-90.239473
I Love Forest Park 5K - 2024 Edition ,,38.643351,-90.281917,38.642936,-90.281833
Strait into Compton,,38.611062,-90.239913,38.61009,-90.233979
Trap Run 5K,,38.657883,-90.232998,38.658547,-90.232524
North Sarah Sprint ,,38.65816,-90.232812,38.65083,-90.238553
Trap Run Mile 2,,38.645909,-90.242032,38.650244,-90.232945
Trap Run Final Mile ,,38.649905,-90.233197,38.659251,-90.232024
DTRC Emerson Fields Loop,,38.630901,-90.293373,38.630382,-90.293386
Newest Segment in Forest Park,13266571770,38.635045,-90.268505,38.633159,-90.267787
Cold Duck Time ,13663761531,44.676363,-72.36636,44.675909,-72.365379
Return from Town,13688850422,44.639442,-72.3714,44.669043,-72.367741
Craftsbury HR Blaster ,13689867174,44.670314,-72.37055,44.668996,-72.367327
Forest Park Gravel DH,15280761883,38.636699,-90.303101,38.637477,-90.29563
Kennedy Forest Climb,15280761883,38.638345,-90.299054,38.63497,-90.301122
Easthampton to Look Park via Rail Trail ,15467522817,42.267895,-72.669772,42.343599,-72.680497
Federer Folley CCW,15551964738,38.564501,-90.266026,38.564402,-90.265791
Sam's > Ruthie's ,17410088336,44.675197,-72.35993,44.684765,-72.359804
The Up Down,17410088336,44.669287,-72.357529,44.6908,-72.356742
